Response, Timestamp, T_ext, Power, Ratio, T_mix, Occ_1, PPV_1, T_SPOT_1, T_NoSPOT_1, SPOT_1, Occ_2, PPV_2, T_SPOT_2, T_NoSPOT_2, SPOT_2
0,1451624400,-14.285,4.42312,0,-14.285,0,-0.0416002,22,22,1,0,-0.0416002,22,22,1
0,1451625000,-14.285,2.46618,0.8,14.384,0,0.36559,23.6512,21.5512,1,0,0.36559,23.6512,21.5512,1
0,1451625600,-13.326,2.47157,0.8,14.305,0,0.554009,24.4153,21.2128,1,0,0.554009,24.4153,21.2128,1
0,1451626200,-12.811,2.47871,0.8,14.2004,0,0.645659,24.7869,20.9533,1,0,0.645659,24.7869,20.9533,1
0,1451626800,-12.811,2.49036,0.8,14.0298,0,0.682171,24.935,20.74,1,0,0.682171,24.935,20.74,1
0,1451627400,-11.676,2.48521,0.8,14.1051,0,0.686447,24.9523,20.5504,1,0,0.686447,24.9523,20.5504,1
0,1451628000,-11.885,2.49669,0.8,13.9369,0,0.67669,24.9128,20.3924,1,0,0.67669,24.9128,20.3924,1
0,1451628600,-11.885,2.50495,0.8,13.816,0,0.656138,24.8294,20.2413,1,0,0.656138,24.8294,20.2413,1
0,1451629200,-11.649,2.50959,0.8,13.748,0,0.630185,24.7242,20.0972,1,0,0.630185,24.7242,20.0972,1
0,1451629800,-11.474,2.51459,0.8,13.6748,0,0.602313,24.6112,19.962,1,0,0.602313,24.6112,19.962,1
0,1451630400,-11.474,2.5216,0.8,13.5721,0,0.57379,24.4955,19.8336,1,0,0.57379,24.4955,19.8336,1
0,1451631000,-11.153,2.52403,0.8,13.5365,0,0.544837,24.3781,19.7089,1,0,0.544837,24.3781,19.7089,1
0,1451631600,-10.919,2.52721,0.8,13.4899,0,0.517075,24.2655,19.5921,1,0,0.517075,24.2655,19.5921,1
0,1451632200,-10.919,2.53324,0.8,13.4016,0,0.490437,24.1575,19.4817,1,0,0.490437,24.1575,19.4817,1
0,1451632800,-10.745,2.53674,0.8,13.3503,0,0.464221,24.0512,19.3741,1,0,0.464221,24.0512,19.3741,1
0,1451633400,-10.513,2.53918,0.8,13.3146,0,0.439124,23.9494,19.2715,1,0,0.439124,23.9494,19.2715,1
0,1451634000,-10.513,2.54446,0.8,13.2372,0,0.415375,23.8531,19.1748,1,0,0.415375,23.8531,19.1748,1
0,1451634600,-10.282,2.54646,0.8,13.2078,0,0.392147,23.7589,19.0803,1,0,0.392147,23.7589,19.0803,1
0,1451635200,-9.7959,2.54468,0.8,13.234,0,0.370267,23.6702,18.9914,1,0,0.370267,23.6702,18.9914,1
0,1451635800,-9.7959,2.54904,0.8,13.1701,0,0.350616,23.5905,18.9117,1,0,0.350616,23.5905,18.9117,1
0,1451636400,-9.1186,2.54404,0.8,13.2433,0,0.331423,23.5127,18.8338,1,0,0.331423,23.5127,18.8338,1
0,1451637000,-8.4218,2.53815,0.8,13.3296,0,0.315083,23.4464,18.7675,1,0,0.315083,23.4464,18.7675,1
0,1451637600,-8.4218,2.54114,0.8,13.2859,0,0.301602,23.3917,18.7128,1,0,0.301602,23.3917,18.7128,1
0,1451638200,-8.0051,2.53836,0.8,13.3265,0,0.288437,23.3384,18.6594,1,0,0.288437,23.3384,18.6594,1
0,1451638800,-7.5904,2.53522,0.8,13.3725,0,0.277062,23.2922,18.6133,1,0,0.277062,23.2922,18.6133,1
0,1451639400,-7.5904,2.53735,0.8,13.3413,0,0.267428,23.2532,18.5742,1,0,0.267428,23.2532,18.5742,1
0,1451640000,-7.591,2.53945,0.8,13.3107,0,0.258021,23.215,18.5361,1,0,0.258021,23.215,18.5361,1
0,1451640600,-7.5641,2.54111,0.8,13.2862,0,0.248834,23.1778,18.4988,1,0,0.248834,23.1778,18.4988,1
0,1451641200,-7.5641,2.54308,0.8,13.2574,0,0.239959,23.1418,18.4628,1,0,0.239959,23.1418,18.4628,1
0,1451641800,-7.482,2.54388,0.8,13.2457,0,0.231294,23.1066,18.4277,1,0,0.231294,23.1066,18.4277,1
0,1451642400,-7.4282,2.54495,0.8,13.23,0,0.223125,23.0735,18.3946,1,0,0.223125,23.0735,18.3946,1
0,1451643000,-7.4282,2.54667,0.8,13.2048,0,0.215341,23.0419,18.363,1,0,0.215341,23.0419,18.363,1
0,1451643600,-7.403,2.54801,0.8,13.1851,0,0.207739,23.0111,18.3322,1,0,0.207739,23.0111,18.3322,1
