# Number of Zones: 1
# Number of Rooms: 1
# Simulation Duration: 14400 seconds
# Time Step: 600 seconds 
# Number of Time Instances: 24
# Thermal Capacity of Room (C): 2000 kJ/K 
# Thermal Capacity of SPOT Region (C_): 200 kJ/K 
# Heat Transfer Coefficient for Outside (alpha_o): 0.048 kJ/K.s 
# Heat Transfer Coefficient for Regions (alpha_r): 0.1425 kJ/K.s 
# Heat Load Due to Lightening and Equipments (Q_l): 0.1 kW 
# Heat Load Due to Presence of Occupants (Q_h): 0.1 kW 
# Heat Load of SPOT Unit (Q_s): 0.7 kW 
# Coefficient of Fan Power Consumption (fan_coef): 0.094
# Density of Air (density): 1.225 kg/m3 
# Specific Heat Capacity of Air (specific_heat): 1.003 kJ/kg.K 
# Parameter-1 of Learned PMV Model: 0.2466
# Parameter-2 of Learned PMV Model: 1.4075
# Parameter-3 of Learned PMV Model: 0.581
# Parameter-4 of Learned PMV Model: 5.4668
# Heating Efficiency of AHU: 0.9
# Cooling Efficiency of AHU: 0.9

S_{SPOT}^1, Occupancy^1, T_{HVAC}^1, T_{SPOT}^1, T_{NoSPOT}^1, DeltaT_{SPOT}^1, DeltaT_{NoSPOT}^1, PPV^1, T_{MixedAir}, T_{ext}, P_{AHU}
1, 1, 21, 21, 21, 0, 0, -0.2882, 17.79, 4.95, 1.53815
0, 1, 20, 20.3, 20, 0.3, 0, -0.46082, 17.24, 5, -1.70005
0, 1, 19.0912, 19.563, 19.1055, 0.47175, 0.01425, -0.642572, 16.6704, 5.1, -1.53977
0, 1, 18.2726, 18.8427, 18.295, 0.570077, 0.0224081, -0.820186, 16.0542, 4.9, -1.34695
0, 1, 17.5344, 18.1608, 17.5615, 0.626369, 0.0270787, -0.98835, 15.5486, 5.1, -1.18278
0, 1, 16.8758, 17.5344, 16.9056, 0.658596, 0.0297525, -1.14282, 15.0475, 5.1, -1.01573
0, 1, 16.2865, 16.9635, 16.3178, 0.677046, 0.0312833, -1.28359, 14.5808, 5.05, -0.858167
0, 1, 15.7589, 16.4465, 15.791, 0.687609, 0.0321597, -1.4111, 14.1672, 5.05, -0.717613
0, 1, 15.2874, 15.981, 15.32, 0.693656, 0.0326614, -1.52588, 13.7848, 5, -0.587202
0, 1, 14.8654, 15.5625, 14.8983, 0.697118, 0.0329487, -1.62908, 13.47, 5.1, -0.47964
0, 1, 14.4899, 15.189, 14.523, 0.6991, 0.0331131, -1.72119, 13.1312, 4.9, -0.363728
0, 1, 14.1516, 14.8518, 14.1848, 0.700235, 0.0332073, -1.80434, 12.8615, 4.9, -0.271408
0, 1, 13.8494, 14.5503, 13.8827, 0.700884, 0.0332612, -1.87869, 12.6303, 4.95, -0.192249
0, 1, 13.5803, 14.2815, 13.6136, 0.701256, 0.033292, -1.94497, 12.4252, 5, -0.122043
0, 1, 13.3406, 14.0421, 13.3739, 0.701469, 0.0333097, -2.00403, 12.2237, 4.95, -0.0530145
0, 1, 13.1258, 13.8274, 13.1591, 0.701591, 0.0333198, -2.05696, 12.0519, 4.95, 0.005797
0, 1, 12.934, 13.6356, 12.9673, 0.701661, 0.0333256, -2.10425, 11.8885, 4.9, 0.0617606
0, 1, 12.7619, 13.4636, 12.7953, 0.701701, 0.0333289, -2.14667, 11.7709, 5, 0.102039
0, 1, 12.6097, 13.3114, 12.643, 0.701724, 0.0333308, -2.1842, 11.6491, 5, 0.14374
0, 1, 12.4737, 13.1755, 12.5071, 0.701737, 0.0333319, -2.21773, 11.5304, 4.95, 0.184411
0, 1, 12.3516, 13.0533, 12.3849, 0.701744, 0.0333325, -2.24785, 11.4327, 4.95, 0.217875
0, 1, 12.2425, 12.9443, 12.2758, 0.701749, 0.0333329, -2.27475, 11.3754, 5.1, 0.237489
0, 1, 12.1472, 12.849, 12.1806, 0.701751, 0.0333331, -2.29824, 11.2792, 5, 0.270442
0, 1, 12.0607, 12.7624, 12.094, 0.701753, 0.0333332, -2.31958, 11.22, 5.05, 0.290725
